+----------------------------------------------+-------+---------+-----------+
| Список материалов схемы 'Unnamed' (1 компонента из 1)                      |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
| Саженец дуба                                 |    23 |      23 |         0 |
| Блок коричневого гриба                       |    22 |      22 |         0 |
| Картофель                                    |    22 |      22 |         0 |
| Оранжевый бетон                              |    22 |      22 |         0 |
| Потрескавшиеся глубинносланцевые кирпичи     |    22 |      22 |         0 |
| Сирень                                       |    22 |      22 |         0 |
| Белый тюльпан                                |    21 |      21 |         0 |
| Дубовые доски                                |    21 |      21 |         0 |
| Каменная плита                               |    21 |      21 |         0 |
| Морковь                                      |    21 |      21 |         0 |
| Ножка гриба                                  |    20 |      20 |         0 |
| Обтёсанная древесина тёмного дуба            |    20 |      20 |         0 |
| Азалия                                       |    19 |      19 |         0 |
| Мангровая плита                              |    19 |      19 |         0 |
| Полевые цветы                                |    19 |      19 |         0 |
| Хаустония серая                              |    19 |      19 |         0 |
| Стол кузнеца                                 |    18 |      18 |         0 |
| Чёрная свеча                                 |    18 |      18 |         0 |
| Песок душ                                    |    17 |      17 |         0 |
| Плита из полированного туфа                  |    17 |      17 |         0 |
| Розовый тюльпан                              |    17 |      17 |         0 |
| Бамбуковые ступеньки                         |    16 |      16 |         0 |
| Бамбуковый люк                               |    16 |      16 |         0 |
| Верстак                                      |    16 |      16 |         0 |
| Заражённый камень                            |    16 |      16 |         0 |
| Красный тюльпан                              |    16 |      16 |         0 |
| Оранжевое стекло                             |    16 |      16 |         0 |
| Корнистая земля                              |    15 |      15 |         0 |
| Лаймовая свеча                               |    15 |      15 |         0 |
| Обтёсанная древесина бледного дуба           |    15 |      15 |         0 |
| Розовый куст                                 |    15 |      15 |         0 |
| Синяя орхидея                                |    15 |      15 |         0 |
| Белая кровать                                |    14 |      14 |         0 |
| Ведро лавы                                   |    14 |      14 |         0 |
| Коричневый сухой бетон                       |    14 |      14 |         0 |
| Пион                                         |    14 |      14 |         0 |
| Еловая кнопка                                |    13 |      13 |         0 |
| Розовые лепестки                             |    13 |      13 |         0 |
| Саманные ступеньки                           |    13 |      13 |         0 |
| Гладкий красный песчаник                     |    12 |      12 |         0 |
| Зелёная керамика                             |    12 |      12 |         0 |
| Кафедра                                      |    12 |      12 |         0 |
| Лук-батун                                    |    12 |      12 |         0 |
| Одуванчик                                    |    12 |      12 |         0 |
| Плавильная печь                              |    12 |      12 |         0 |
| Саманная плита                               |    12 |      12 |         0 |
| Семена свёклы                                |    12 |      12 |         0 |
| Булыжная ограда                              |    11 |      11 |         0 |
| Ландыш                                       |    11 |      11 |         0 |
| Люк из бледного дуба                         |    11 |      11 |         0 |
| Сухие листья                                 |    11 |      11 |         0 |
| Берёзовый забор                              |    10 |      10 |         0 |
| Бирюзовая шерсть                             |    10 |      10 |         0 |
| Блок незерского нароста                      |    10 |      10 |         0 |
| Высокая трава                                |    10 |      10 |         0 |
| Дверь из тёмного дуба                        |    10 |      10 |         0 |
| Зелёный бетон                                |    10 |      10 |         0 |
| Незерак                                      |    10 |      10 |         0 |
| Плита из полированного андезита              |    10 |      10 |         0 |
| Почва душ                                    |    10 |      10 |         0 |
| Бревно тёмного дуба                          |     9 |       9 |         0 |
| Паутина                                      |     9 |       9 |         0 |
| Андезитовые ступеньки                        |     8 |       8 |         0 |
| Бамбуковая калитка                           |     8 |       8 |         0 |
| Белый сухой бетон                            |     8 |       8 |         0 |
| Ель                                          |     8 |       8 |         0 |
| Железный люк                                 |     8 |       8 |         0 |
| Каменистая земля                             |     8 |       8 |         0 |
| Обтёсанное акациевое бревно                  |     8 |       8 |         0 |
